,000300.SH,CBA00301.CS,AU9999.SGE,NH0100.NHF,IXIC.GI,SPX.GI,HSI.HI,N225.GI,TY.CBT,FTSE.GI
000300.SH,1.0,-0.1566757790327098,-0.018213966105265666,0.2896671248873123,0.18160440865205052,0.17943675193607037,0.5997460350264302,0.27906210591043673,-0.08037224911764404,0.23131750929265776
CBA00301.CS,-0.1566757790327098,1.0,0.11141210305995371,-0.12792663786890812,-0.04327833481280517,-0.052363971332102355,-0.17162702413322067,-0.10001839208829606,0.0807453744102221,-0.06685508663757976
AU9999.SGE,-0.018213966105265666,0.11141210305995371,1.0,0.17799507638425047,0.007720184919936073,0.015632192692897236,-0.01374501049267492,-0.0889702189796424,0.06142022257189032,0.006425841457601866
NH0100.NHF,0.2896671248873123,-0.12792663786890812,0.17799507638425047,1.0,0.056001411271338945,0.0914413157623623,0.32943877594531,0.21937788151129564,-0.10967068104452711,0.1936916404655009
IXIC.GI,0.18160440865205052,-0.04327833481280517,0.007720184919936073,0.056001411271338945,1.0,0.9468867238217571,0.22455263759895414,0.17911411396575636,-0.13984836865436356,0.4186411584798092
SPX.GI,0.17943675193607037,-0.052363971332102355,0.015632192692897236,0.0914413157623623,0.9468867238217571,1.0,0.22872303464762225,0.21022377980112386,-0.18988468576804934,0.5161097191515904
HSI.HI,0.5997460350264302,-0.17162702413322067,-0.01374501049267492,0.32943877594531,0.22455263759895414,0.22872303464762225,1.0,0.42907893308153616,-0.07786394388894005,0.40220402197487143
N225.GI,0.27906210591043673,-0.10001839208829606,-0.0889702189796424,0.21937788151129564,0.17911411396575636,0.21022377980112386,0.42907893308153616,1.0,-0.09433636495274277,0.3554263890647353
TY.CBT,-0.08037224911764404,0.0807453744102221,0.06142022257189032,-0.10967068104452711,-0.13984836865436356,-0.18988468576804934,-0.07786394388894005,-0.09433636495274277,1.0,-0.1950820973594779
FTSE.GI,0.23131750929265776,-0.06685508663757976,0.006425841457601866,0.1936916404655009,0.4186411584798092,0.5161097191515904,0.40220402197487143,0.3554263890647353,-0.1950820973594779,1.0
